"text","number","abbr"
"Straight","12.73","SR_SG"
"Crooked","12.74","SR_CR"
"Hook, Crook","12.75","SR_HK"
"Angle, Corner","12.76","SR_CN"
"Cross (n)","12.77","SR_CS"
"Square (n)","12.78","SR_SQ"
"Round (adj)","12.81","SR_RO"
"Circle","12.82","SR_CI"
"Sphere","12.83","SR_SP"
"Line","12.84","SR_LN"
"Hole","12.85","SR_HL"
"Equal, Alike","12.91","SR_EQ"
"Like, Similar","12.92","SR_LS"
"to Change","12.93","SR_CE"
"Sign (n)","12.94","SR_SN"
"Amount, Quantity","13.11","QN_QN"
"Number","13.12","QN_NU"
"Whole","13.13","QN_WH"
"All, Every","13.14","QN_EA"
"Much, Many","13.15","QN_MM"
"More","13.16","QN_MO"
"Few, Little","13.17","QN_LF"
"Enough","13.18","QN_EN"
"Crowd, Multitude","13.19","QN_MC"
"Other Collective Words","13.192","QN_CW"
"Full","13.21","QN_FU"
"Empty","13.22","QN_EM"
"Part (n)","13.23","QN_PR"
"Half","13.24","QN_HA"
"Numerals","13.31","QN_NN"
"One","13.32","QN_ON"
"Alone, Only","13.33","QN_AO"
"First","13.34","QN_FI"
"Last","13.35","QN_LS"
"Three","13.41","QN_TH"
"Third (ordinal)","13.42","QN_TO"
"a Third (fraction)","13.43","QN_TF"
"Occurring Three Times","13.44","QN_TT"
"Threefold, Triple","13.45","QN_TR"
"Consisting of Three Kinds","13.46","QN_TK"
"Consisting of Three Together","13.47","QN_CT"
"Group of Three","13.48","QN_GT"
"By Threes","13.51","QN_BT"
"Three Apiece","13.52","QN_TP"
"Miscellaneous","13.53","QN_MI"
"Time (period)","14.11","TI_TI"
"Age","14.12","TI_AG"
"New","14.13","TI_NW"
"Young","14.14","TI_YG"
"Old","14.15","TI_OL"
"Early (adv)","14.16","TI_EA"
"Late (adv)","14.17","TI_LT"
"Now","14.18","TI_NO"
"Soon, Immediately","14.19","TI_SI"
"Fast, Swift, Quick","14.21","TI_SW"
"Slow (adj)","14.22","TI_SL"
"to Hurry, Hasten","14.23","TI_HH"
"to Delay","14.24","TI_DE"
"to Begin; Beginning","14.25","TI_BB"
"to Last","14.252","TI_LS"
"End (n, temporal)","14.26","TI_EN"
"to Finish","14.27","TI_FI"
"to Cease","14.28","TI_CE"
"Ready (adj)","14.29","TI_RE"
"Always","14.31","TI_AL"
"Often","14.32","TI_OF"
"Sometimes","14.33","TI_ST"
"Never","14.34","TI_NV"
"Again","14.35","TI_AN"
"Day","14.41","TI_DA"
"Night","14.42","TI_NG"
"Dawn","14.43","TI_DW"
"Morning","14.44","TI_MG"
"Noon","14.45","TI_NN"
"Evening","14.46","TI_EV"
"Today","14.47","TI_TD"
"Tomorrow","14.48","TI_TM"
"Yesterday","14.49","TI_YD"
"Hour","14.51","TI_HR"
"Minute, Second","14.52","TI_MS"
"Clock, Watch","14.53","TI_CW"
"Week","14.61","TI_WK"
"Sunday","14.62","TI_SU"
"Monday","14.63","TI_MO"
"Tuesday","14.64","TI_TU"
"Wednesday","14.65","TI_WE"
"Thursday","14.66","TI_TH"
"Friday","14.67","TI_FR"
"Saturday","14.68","TI_SA"
"Month","14.71","TI_MT"
"Names of the Months","14.72","TI_NM"
"Year","14.73","TI_YR"
"Winter","14.74","TI_WI"
"Spring","14.75","TI_SP"
"Summer","14.76","TI_SM"
"Autumn","14.77","TI_AU"
"Season","14.78","TI_SN"
"to Sense, Perceive; Sense","15.11","SP_PS"
"to Smell (subj)","15.21","SP_VS"
