Starling ID,Headwords,Gloss,chosen_abbr,suggestion_1,field_1,score_1,suggestion_2,field_2,score_2,suggestion_3,field_3,score_3
PDR1184,*nat-,snail,AN_PI,AN_PI,Animals — Pig,0.534,AN_WR,Animals — Worm,0.467,AN_EL,Animals — Elephant,0.464
PDR1185,*nav-,female,MK_FS,MK_FS,Mankind — Female,0.610,AN_FE,Animals — Female Animal,0.508,MK_MS,Mankind — Male,0.461
PDR1186,*nav- (*-m-),to trouble; to decline,LM_RF,LM_RF,"Language & Music — to Refuse, Forbid",0.373,LM_TH,Language & Music — to Threaten,0.362,TI_HH,"Time — to Hurry, Hasten",0.340
PDR1187,*navir,hair,BP_HA,BP_HA,Body Parts & Functions — Hair,0.693,BP_BE,Body Parts & Functions — Beard,0.463,CA_CB,Clothing & Adornment — Comb,0.446
PDR1188,*ńavuḍ- (*l-?),lip,BP_LI,BP_LI,Body Parts & Functions — Lip,0.673,BP_CK,Body Parts & Functions — Cheek,0.449,BP_MO,Body Parts & Functions — Mouth,0.427
PDR1189,*naǯǯ-,to crush; to subdue,TI_HH,TI_HH,"Time — to Hurry, Hasten",0.384,SO_OB,Social Relations — to Obey,0.373,EM_PL,Emotion — to Please,0.367
PDR1190,*nāḍ-,village,SO_CI,SO_CI,"Social Relations — Town, City",0.493,SO_TC,"Social Relations — Tribe, Clan, Family",0.451,DF_HU,Dwellings & Furniture — Hut,0.424
PDR1191,*ńād_-,to smell,SP_VO,SP_VO,Sense Perception — to Smell (obj),0.587,SP_VS,Sense Perception — to Smell (subj),0.583,SP_BD,"Sense Perception — Stinking, Bad Smelling",0.537
PDR1192,*nāg-,young; female,TI_YG,TI_YG,Time — Young,0.520,MK_FS,Mankind — Female,0.507,TI_AG,Time — Age,0.436
PDR1193,*nāg- (?),earring,BP_EA,BP_EA,Body Parts & Functions — Ear,0.592,CA_FR,Clothing & Adornment — Finger Ring,0.433,SP_HG,Sense Perception — Hearing (n),0.392
PDR1194,*nājk- (?),to lick,BP_LC,BP_LC,Body Parts & Functions — to Lick,0.645,BP_BI,Body Parts & Functions — to Bite,0.431,BP_TG,Body Parts & Functions — Tongue,0.426
PDR1195,*ńāj(t)-,dog,AN_DO,AN_DO,Animals — Dog,0.785,AN_PU,Animals — Puppy,0.680,AN_AN,Animals — Animal,0.608
PDR1196,*nāl-,four,QN_TH,QN_TH,Quantity & Number — Three,0.446,QN_TP,Quantity & Number — Three Apiece,0.427,QN_CT,Quantity & Number — Consisting of Three Together,0.407
